colonos romanos	aprendieron	latín.
Shiva	es adorado	en la forma de un "Jyotirlinga
Polonia	no confiaba	Hitler
John Adams	recibió permiso formal	para negociar un préstamo
Facebook	tendrá	efectos psicológicos nocivos en Facebook
Satyajit Ray	es considerado	uno de los más grandes autores del cine del siglo XX.
George Herbert Walker Bush	fue rescatado	por el
Anil Kapoor	no	fue bien en la taquilla
Facebook	hizo nada más que enviar mensajes automáticos,	publicaciones potencialmente ilegales compartidas
É variste Galois	convirtió	alcalde de Bourg -la - Reine's
sarampión	mató	a otros dos millones de nativos mexicanos
Primera Dama Nancy Reagan	tuvo	un La Corte Internacional de Justicia
Kurma	'se eleva	a la posición semi-divina como 'Señor
Minnesota al oeste del río Mississippi	ha tenido	movimientos activos de terceros
hinduismo	es	la religión dominante.
oriana	nacida	1950
latín vulgar	fue adoptado gradualmente	por los habitantes del norte de la Galia romana.
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen Armstrong,	era	un Boy Scout activo
Attar	vio	Rumi, de dieciocho años.
el Rumi de dieciocho años	conocido popularmente	como en Turquía
ZnO	también se utiliza	como electrodo en supercondensadores
Javagal Srinath	representó	al Gobierno de India
el sacerdote de Isis	ruega	Dios
William Jefferson Clinton	superó	actual presidente republicano George HW Bush
Marsella	para ser	multicultural
Nirmala Sitharaman	nacida el 18 de agosto de 1959	trabajó como vendedora en Habitat
George Herbert Walker Bush	nombró	Ronald Reagan
China	originó	lejanía y la escasa población.
filósofos budistas	siguen	Gautama Buddha
Oracle Systems Corporation	demandó	Google
budismo	trajo	la escultura de figuras religiosas al este de Asia
Adolf Hitler	apuntó	capitán del ejército Ernst Röhm y otros miembros de la Unión Soviética
Swami Vivekananda	también estuvo	activo en Keshab Chandra Sen Band of Hope
Coca - Cola Co.	es	para el tratamiento de fitobezoares gástricos
Monte Canopus o Canopus Hill	desaparece	bajo el horizonte en el Negev y el Sinaí
Louis Pasteur	ingresó	la École Normale Supérieure
Champat Rai Jain	es	una religión transteísta
Italia	acogerá	la tercera edición
el estándar	para vocalizar	la Biblia hebrea
Persia	dirige explícitamente	la Tierra
Lord Byron	para escribir	poemas políticos como " Canción para los luditas
Hassan Rouhani	es presidente de	India
nacido Narendranath Datta	viaja	Swami Vivekananda
Pakistán Oriental	invadió	estado de Hyderabad
la franquicia de la Premier League india Royal Challengers Bangalore	terminó	séptimo
Bidya Devi Bhandari	antes de ser elegida	miembro del comité central del Partido Comunista de Nepal
Arcturus	se encuentra	19° al norte del ecuador celeste
CEO Mark Zuckerberg	prohibirá el	contenido islamófobo en Facebook Facebook
Kirguistán	es oficialmente	la República Kirguisa
Aurobindo Ghose	fue arrestado	nuevamente
ambos	complementan	el Corán
Bengala Oriental	es	una región geopolítica, cultural e histórica en el sur de Asia
Joseph Priestley	de gira	Europa
Irak	era oficialmente	la República de Irak
Monte Canopus o Canopus Hill	opuesto	siempre - Polaris visible
El gobierno federal de Canadá	es, además, uno de	Tierra
Congreso del Estado de Bengala	estaba	menos interesado en la reforma constitucional y más abierto al socialismo.
los británicos	propusieron emplear a ex reclusos	las islas Andaman y Nicobar
Irán	tiene	una reiteración de la ley islámica en el sistema legal de Irán
Ludwig van Beethoven	bautizado	17 de diciembre de 177026 de marzo de 1827) Séptima Sinfonía
laca	se aplicó directamente	a los devanados de una sola capa en una solución de alcohol.
Islam	es	la religión principal.
Thimphu	es	la capital y ciudad más grande del Reino de Bután.
Aurobindo Ghose	aboga	por un modo de evolución creativo y emergente
La Organización Mundial de la Salud	aplicó	una clasificación de seis etapas para describir el proceso
Lin Dan	eligió jugar	bádminton
Monte Canopus o Canopus Hill	es fácilmente visible	debido a los efectos de la elevación y la refracción atmosférica.
Abraham Lincoln, de mediana edad, los puertos del sur	anunció	el bloqueo de la Unión de todos
China continental	suspende	comunicaciones oficiales a través del Estrecho
Nawazuddin Siddiqui	apareció	en la película de 2012
Oracle Corporation	tenía	en Sun Microsystems OpenSolaris
Delta Air Lines	inició	el servicio de comidas
George Bernard Shaw	intento	de esquivar el pozo sin fondo de un pesimismo totalmente desalentador
ética cristiana	contravino	Adolf Hitler
Virat Kohli	nacido el 5 de noviembre de 1988	para Virat Kohli
Pakistán	administró	terremoto de Azad Cachemira
Louis Braille	leyó	al fundador de la escuela
Óxido de zinc	para tratar	rozaduras del pañal, crema de calamina, champús anticaspa y ungüentos antisépticos
Charles Darwin	había regresado	a Inglaterra
Avinash Chandra	es Director General Adicional de	Policía
ozono	oxida	amoníaco a nitrato de amonio.
Nerón	exilió	Agripina la Joven
un miembro asociado	después	Brexit
Grace Ho	tuvo	Bruce Lee
Sri Lanka	impuso una cuarentena	la industria filipina del coco gestionada por unos 3,5 millones de agricultores
El punto más bajo	es	el río Níger.
Tipu Sultan	nació Sultan Fateh Ali Sahab Tipu	como las tropas y expertos militares del Tigre de Mysore
Italia	une	fuerzas con Adolf Hitler
el Corán	usa	metáforas constantes de ceguera y sordera para implicar incredulidad
1863	enfureció	ambos
hombre	está	en despliegue
Muhammad	resolviendo	una disputa entre los clanes de La Meca
Aristóteles	pone	de consideraciones históricas
John Adams	para asistir	a la escuela
particular, Gran Bretaña y Francia	tenían	interés en vender buques de guerra al [
Vishwanathan	enfrentó	Magnus Carlsen
Judy Garland	hizo	uno de Judy Garland
Carl Friedrich Gauss	buscó	un puesto en astronomía
desempleo	difiere	de un país a otro y en diferentes períodos de tiempo
Óxido de zinc	para prevenir	formación de placa y sarro
Lesotho	del Reino de Lesotho	ley general
Shanghai	ha sido reconocida	como una nueva influencia e inspiración para la cultura cyberpunk.
emperador mogol Humayun	tuvo que huir	Baluchistán
los vacilantes franceses	querían	hacer las paces
Sudáfrica	amenazó con revelar	la información
Swami Vivekananda	convocó	un retiro para estudiantes de Vedanta
Hong Kong	participa activamente	en la Organización Mundial del Comercio
Karl Heinrich Marx	al	pensador alemán Friedrich Engels
Aaron Hillel Swartz	descargó	2,7 millones de documentos
Bamako	tenía	una población de alrededor de 160.000
Judy Garland	nació Frances Ethel Gumm	1922
Carl Linnaeus	viajó	a Inglaterra
Adolf Hitler	dedicado	a hablar en público
La revolución verde de China	transformó	agricultura en todo el mundo
Musulmanes	para orar	en congregación
John Adams	fue representado	como un águila
Monte Canopus o Canopus Hill	era conocido	por los antiguos mesopotámicos.
Asim Omar	es jefe de	Península Arábiga
Günter Schabowski	es el líder del partido en	Berlín Este
Judy Garland	necesitaba	un número musical adicional
Andorra	oficialmente el Principado de Andorra	por los trenes de alta velocidad franceses
gobernador republicano Wally Hickel	reincorporó oficialmente	Alaska Airlines
Dios en el hinduismo	ofreció	pruebas
Constantinopla	siendo	parte del Sacro Imperio Romano
Bamako	proviene	de la palabra Bambara
Brexit	fue	la retirada del Gobierno escocés
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen Armstrong, del	tuvo que salir disparado	Lunar Landing Research Vehicle momentos antes de un accidente
Anil Kapoor	tuvo	un papel principal en la película de ciencia ficción de Shekhar Kapur
Al año siguiente	ocupó	el puesto 95.
Osama bin Laden	continuó	obteniendo el apoyo de los miembros después.
el excedente de agua del río Godavari	drena	un importante afluente del mismo nombre
Delta Air Lines	voló	un Huff - Daland Duster
Ptolomeo	para llegar	a la verdad
el gobierno del estado de Jammu y Cachemira	brinda	los separatistas de Cachemira solo apoyo moral y diplomático
los 25 distritos electorales del estado indio de Andhra Pradesh	para representar	Lok Sabha
Italia	es miembro de	las Naciones Unidas
Tsai Ing-wen	postularía	para la reelección como presidente en 2020
Bruce Lee	no apareció	en comerciales
la continua crisis económica provocada por el rearme	obligó	Adolf Hitler
Lin Dan	comenzó	derrotando a la estrella en declive Taufik Hidayat
Science Citation Index	expandió	ese año
Swami Vivekananda	fue influenciado	por Ramakrishna
clotrimazol	puede retrasar	crecimiento de hongos o provocar la muerte de las células fúngicas.
Japón	fue	con el propósito de liberar a los pueblos colonizados
la ciudad capital de Thimphu	para honrar	al tercer rey del Reino de Bután
Shanghai	se encuentra	en una llanura aluvial
el planeta Júpiter	tiene	una ligera pero notable protuberancia alrededor del ecuador del Sol
Federico Fellini	sufrió	un derrame
Microsoft Corporation	continuará con	desarrollo para Linux
Italia	habría sido	el resultado de la depredación de la hiena de las cavernas
éter dietílico	se usa con seguridad	en pacientes con shock
un deseo	de obedecer	Dios
John Adams	estaba observando	el caso
Segunda Guerra Mundial o la Segunda Guerra Mundial	comenzó	el 1 de septiembre de 1939
George Herbert Walker Bush	tuvo	grandes dificultades para equilibrar el presupuesto
Anil Kapoor,	nacido el 24 de diciembre de 1956,	logró un éxito de taquilla razonable con
Tsai Ing-wen	nunca se ha apartado fundamentalmente	de la línea del partido.
Finlandia	cubre	un área de con una población de 5,5 millones
Guinea Ecuatorial	es	un país en la costa oeste de África Central
el Corán	como	la palabra textual de Dios, un solo Dios
John Adams	no redactó	el primer conjunto de reglamentos para regir la armada provisional
Subhas Chandra Bose	intentó cambiar el	curso del Congreso del Estado de Bengala
el Zambezi	llegando	Etiopía
Pune	tiene	15.642 kilómetros cuadrados
la ciudad de Copenhague	tiene	una amplia gama de museos de prestigio internacional
Judy Garland	requiere	el uso de un acento
Jawaharlal Nehru	adoptó	una actitud más conciliadora
Judy Garland	nació Frances Ethel Gumm	22 de junio de 1969) contrato el 17 de junio de 1950
Judy Garland	ganó	más de $ 200,000 de Judy Garland
Federico Fellini	graduó	de la escuela secundaria
Lin Dan	para hacerse	el partido 23 - 21
John Adams	no tiene	un monumento dedicado a John Adams
Paraguay	ratificó	el Tratado de la ONU sobre la Proscripción de las Armas Nucleares
Judy Garland	había expuesto	una década antes en
Umdat ut Tawarikh Guru Har Gobind	fue	Guru Tegh Bahadur
los federalistas	atacaron	Thomas Paine
El partido con apoyo mayoritario en la Cámara de Representantes	forma	el gobierno
Joseph Priestley	practicantes	filósofos naturales
Cricket	vio	un aumento en el juego defensivo
Windows 10	tendrá	una versión de 32 bits
John Adams	accedió a asistir	los republicanos
Evolución	para explicar	las grandes variaciones de la vida en la Tierra
Coca - Cola Co.	también fue	el patrocinador principal de la Copa de la Liga Escocesa
Facebook	fue	$ 41 mil millones
matemáticas	influenciadas	por Srinivasa Ramanujan
Islam	significa	sumisión
pensador alemán Friedrich Engels	tuvo	en Manchester
antigua Grecia	como productora	grandes obras
Irak	es	un país en Asia Occidental
Qualcomm	había expresado	intención de Qualcomm ( ) de apelar
Philippine Airlines	será acreditada	por la Asociación Internacional de Transporte Aéreo
Alemania Oriental	estaba perdiendo	toda una generación
El Municipio de Agartala	es	la sede del estado 'Hill Tippera'
Dos compañías de gira	llevaron	George Bernard Shaw
El gobierno del Estado de Connecticut	está dividido	en 169 pueblos.
Lin Dan	ganará	campeonatos mundiales consecutivos
los isleños de Nueva York	crearon	el Panhandle de Connecticut
Abraham Lincoln	podría atraer	multitudes como narrador
África subsahariana	nombre	río Níger
Ankara	reemplazó	la antigua capital otomana
los británicos	tomaron	control directo de Mysore
funcionarios abjasios	han dado	la Federación Rusa
Adolf Hitler	solicitó unirse	al Partido de los Trabajadores de Alemania
George Herbert Walker Bush	fue	el presidente estadounidense más longevo
ZnO	para producir	una fuente de láser UV bombeada electrónicamente
La dinastía Qin	cedió	isla de Hong Kong
Thomas Paine	se propuso rebatir	un estallido contrarrevolucionario contra la Revolución Francesa
Australia	encuentran	entre los más altos de la Tierra
la guerra	dedicada	a los principios de libertad e igualdad para todos
Albania	participó	en seis misiones internacionales
Coca - Cola Co.	presentó	la Tarjeta Coca-Cola
George Bernard Shaw	tenía	la Joan de Shaw
Philippine Airlines	también conocida históricamente	como Philippine Air Lines
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen	Armstrong, volaba	sobre el suelo
Joseph Priestley	narró	un relato providencialista y naturalista de la historia.
Tsai Ing-wen	derrotó	Koo Kwang-ming
Ptolomeo	a	Ptolomeo, rey de Alejandría
Bhagavad Gita	es	una parte integral de Gautama Dharmasutras
Carl Friedrich Gauss	introdujo	el llamado papel de logaritmos gaussianos
Radhika Apte	fue nominada	a un premio Emmy internacional por Radhika Apte
la Federación Rusa	ha llevado a cabo la ocupación militar	aprobación del documento
India	rechazó el plan Dixon	a condiciones y una desmilitarización
la Comisión Federal de Comercio	demandó	Facebook
Responsabilidad	en la defensa	Andorra
Roma	para apoyar	la República romana recientemente proclamada en los Estados Pontificios
la hora	designada	para un funeral de estado
La primera	registrada	vasectomía
Primera Dama Caroline Harrison	recordó	el gusto francés de Madison y Monroe
Bruce Lee	había hinchado considerablemente	de 1.400 a 1.575 gramos
Kurma	es	Turtle','Tortoise') como base
El Índice de Estado de Derecho 2015 del Proyecto de Justicia Mundial de EE. UU.	clasificó	Camboya
Alemania nazi	no tendría que enfrentarse	la perspectiva de una guerra de dos frentes
Lord Byron	continúa	escapadas sexuales con actrices como Charlotte Mardyn y otras
Estos eventos	suavizaron	John Adams
Tsai Ing-wen	campaña sobre la promesa de hacer	la República Popular China
Arundo donax	cultivado	en Australia
la ciudad de París	convirtió	el escenario central de la Revolución Francesa
francés de Luisiana	como	elemento de distinción social
Bindusara	nombra	tres hijos de Bindusara
escultura	ha sido	central en la devoción religiosa en muchas culturas.
asma	se ha asociado	con granulomatosis eosinofílica con poliangitis
Virat Kohli	nacido el 5 de noviembre de 1988	cuarto siglo de prueba
Windows10	es	de Microsoft como un "servicio
George Bernard Shaw	para tocar	el piano
ácido linoleico	es	un componente de los aceites de secado rápido
Virat Kohli	fue el máximo	anotador de carreras en T20 I
Tsai Ing-wen	fue reelegida	como presidenta del Partido Demócrata Progresista
Heródoto	murió	c
China	es	Nigeria
México	enfatizó	en aumento de productividad en lugar de reforma agraria
Primera Dama Nancy Reagan	estaba	contra del aborto
El presidente estadounidense John F. Kennedy	denunció	el Muro de Berlín
Subhas Chandra Bose	a	la independencia de la India independiente
Rameswaram	se anexó	a la presidencia de Madrás Rameswaram
la Ciudad de París	tiene	sede para la UEFA Euro 2016
El líder de la pandilla	brutalizó	Phoolan Devi
Carl Linnaeus	encontró	un patrón
Mikhail Gorbachev	usó la fuerza para reprimir	movimientos nacionalistas dentro de la Unión Soviética
sur de la India	vio	las rebeliones de varias castas entonces atrasadas.
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen Armstrong,	después de mudarse	a California
Thomas Paine	fue transferido	a Alford
Coca - Cola Co.	fue	el patrocinador principal de The Football League
Jean-Joseph Sanfourche	vivió	en la ciudad de la infancia de Jean-Joseph Sanfourche
Ankara	volvió	al control de Danishmend
John Adams	accedió a asistir	para hacer la guerra con los vacilantes franceses.
San Antonio	es sacerdote de	portugueses
Tailandia	intentó en	Sudeste de Asia Sudeste de Asia
un gobernante amorreo	llamado	Hammurabi
George Bernard Shaw	ganó	una sólida reputación como dramaturgo
George Herbert Walker Bush	abandonó a regañadientes	la carrera
Philippine Airlines	lanzó	un vuelo directo a Nueva York
India	rechazó el plan Dixon	el 1989
Irak	tiene	una pequeña costa que mide a lo largo del Golfo Pérsico
Subhas Chandra Bose	escribió	Pero para un hombre del temperamento de Subhas Chandra Bose
ácido linoleico	está	presente en cantidades medias en los aceites de soja, sésamo y almendras.
Shanghái	comprende	aproximadamente la mitad de Shanghái
George Bernard Shaw	conoció	Michael Collins
el presidente	lidera	Finlandia
idioma ruso en Israel	fue	el idioma extranjero más popular en Uzbekistán
El Washington Post	conocido	como el "Post y, de manera informal, WaPo
El gobierno del estado de Connecticut	no tiene	gobierno del condado
elector Maximilian Friedrich	dio algo de apoyo	Ludwig van Beethoven
Abraham Lincoln	emitido	el 22 de septiembre de 1862
el documental de HBO	Becoming	Warren Buffett
cero	tiene	un número infinito de factores.
Finlandia	ocupó el	20 en el [
Carl Linnaeus	para encontrar	nuevas plantas, animales y posiblemente minerales valiosos
Abraham Lincoln	reemplazó	mayor general George B. McClellan con Ambrose Burnside
Monte Canopus o Canopus Hill	era conocido	como
Arundo donax	usando	herbicidas y la avispa Arundo
Arqueología o arqueología	para conocer	las sociedades prehistóricas
George Herbert Walker Bush	asistió a la Academia Phillips antes de servir	en la Reserva de la Marina de los Estados Unidos.
Charles - Édouard Jeanneret	plan para la reconstrucción de	la ciudad
Bien	dicho	Thomas Jefferson
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen Armstrong,	debe haber dejado caer	el "a
hebreo	no arameo fue hablado	por más de nueve millones de personas en todo el mundo
la década de 1880	dispuso	el oficial del ejército y el etnólogo
bromuro de potasio	no está aprobado	por la Administración de Alimentos y Medicamentos de EE. UU.
Agustín Pyramus de Candolle	atribuyó	Carl Linnaeus
Tirana	es	Albania
Pakistán	sufrió	más
Tipu Sultan	estableció	enormes astilleros
las islas Andaman y Nicobar	son	solo el 0,25 % del área geográfica de la República de la India
Anil Kapoor	protagonizó	la octava temporada de la serie de televisión estadounidense
Qatar	o	pronunciación vernácula local el sistema legal del Estado de Qatar
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen Armstrong,	llamó	a Pete Conrad de Apollo 12 para resolver el problema
Durgacharan Datta	acompañó	Swami Vivekananda
Adolf Hitler	desestimó	comentario del Conde Ciano
darwinismo	simplemente describe	un fenómeno de la evolución de la materia hacia la vida.
francés de Luisiana	también es	un idioma oficial de todos los territorios.
Skype Technologies SA, con sede	fue utilizado	por 100 millones
embarazo	Se debe evitar	para la mayoría de estos tratamientos.
el excedente de agua del río Godavari	tiene	origen
Subhas Chandra Bose	pasó	tres días
El libro, dedicado al miembro de la Sociedad Thule Dietrich Eckart,	presentó a	Adolf Hitler
dios Shiva	para abordar	el'Ugra'Narasimha
Max Born	regresó	a Gotinga
Anil Kapoor	nacido el 24 de diciembre de 1956	se agradeció la entrega del diálogo
Abraham Lincoln	menos apreciado	en el Norte
Subhas Chandra Bose	vestido	como Pathan
una respuesta ambiental	en el desarrollo	psoriasis
Shanghai	tiene	una población estimada de 34 millones
Tipu Sultan	nació Sultan Fateh Ali Sahab Tipu	cuando el Tigre de Mysore entra en conflicto con Tipu Sultan
Guru Nanak	pasando	tiempo con ascetas errantes y hombres santos
George Herbert Walker Bush	graduó	Phi Beta Kappa
John Adams	no terminó	en tercer lugar con 65 votos
Guru Tegh Bahadur	considerado	un guerrero intrépido y de principios
los demócratas	recuperaron	la Cámara de Representantes
El "Brahma Purana	saluda	Kurma
Australia	es oficialmente	la Commonwealth de Australia esperanza de vida
Bahrein	fue gobernado	por el Imperio portugués
Corporación Municipal de Ranchi	convirtió	una ciudad administrativa e industrial
La palabra	se deriva	de la raíz indo - aria / sánscrita
Thomas Paine	autor	del título estadounidense más vendido de todos los tiempos
inercia	incluye	cambios en la velocidad de cualquier objeto físico o en la dirección del movimiento.
los Estados de la Tregua	para convertirse	los Emiratos Árabes Unidos
Clitoria ternatea	es	una planta herbácea perenne, con hojas elípticas, obtusas
Islam	gana gradualmente	más conversos durante los siglos siguientes.
1967	también incluye	siete consejos municipales y 842 aldeas
Federico Fellini	descubrió	el mundo de Grand Guignol
un estudiante	había acompañado	Carl Linnaeus
Lord Byron	despertó	una mañana
el excedente de agua del río Godavari	había sido denominado	Dakshina Ganga
indígenas australianos	han habitado	Australia
ácido acético	sufre	las reacciones químicas típicas de un ácido carboxílico.
Facebook	hizo nada más que enviar	actividades de mensajes automatizados desde servicios de redes sociales como TikTok
el gobierno del estado de Jammu y Cachemira	obligó	Yasin Malik
Sri Lanka	promedio	solo 13,40
Naciones Unidas	ha identificado	una "crisis de saneamiento
Judy Garland	nació Frances Ethel Gumm	75 % de participación en las ganancias
Nero	acusó	Octavia de adulterio con Anicetus y Octavia fue ejecutada
Abraham Lincoln	reduce drásticamente	visibilidad
Summer Stock	era	Judy Garland
Francia	cedió	la Isla Mauricio
Tipu Sultan	para justificar	intervención militar británica contra Tipu Sultan
Louis Braille	finalmente perdió	vista en el otro ojo
la República de la India	siendo	un dominio de la corona
Meningitis	causada	por la bacteria.
fuerzas francesas y estadounidenses	son	Níger
una gota ("bindu" ") de veneno	tocó	Bindusara
Alemania Oriental	emitió	órdenes de tiro
Guru Nanak	es el fundador de	enseñanzas del sijismo.
David Hilbert	identificó	Max Born
Solo hebras de de similar	polaridad	ADN
mercados	obstaculizados	Kirguistán
ejército indio	comenzará	Operación Estrella Azul contra los militantes
proveedores extranjeros	en encuentro	Paraguay
Evangelista Torricelli	se	interesó por la Óptica
Lin Dan	terminó	la temporada
Philippine Airlines	planeaba lanzar	vuelos a Israel
Virat Kohli	nacido el 5 de noviembre de 1988	serie debut
Judy Garland	poseía	un rango vocal de contralto
Swami Vivekananda	pasó casi dos años dando conferencias	en el este y centro de los Estados Unidos.
Virat Kohli	solo logró	218 en todos los formatos
El país más seco del África subsahariana	convirtió	el miembro número 160 de las Naciones Unidas
Pakistán	tendrá	igualdad de condiciones
Inglaterra	tenía	una alineación de bateo fortalecida
Filadelfia	está experimentando	importante inmigración china desde la ciudad de Nueva York
música	habilitada	Louis Braille
Srinivasa Ramanujan	fue elegido	miembro de la Sociedad Matemática India
Jengibre	que se ha exportado	desde el sudeste asiático marítimo
cero	es	el número central en una recta numérica.
Adolf Hitler	usó el chantaje	de Blomberg
Nexus 5	no tiene	ranura para tarjeta microSD
Filadelfia,	conocido coloquialmente simplemente	como Philly ) importante museo de arte
Subhas Chandra Bose	regresó	a Presidency College
Arameo	perdiendo	hebreo
humedad	es	baja
Irrfan Khan	nació Sahabzade Irfan Ali Khan	infancia en Tonk
Anil Kapoor	interpretó	un personaje gris con delicadeza.
India	estaba	al borde de una hambruna masiva
Osama bin Laden	no puede hablar	de Internet
Donald Trump	criticó	The Cable News Network
Sri Lanka	tiene	un próspero y aclamado internacionalmente
O Umar	ganó	los corazones de las tribus beduinas
deporte	fue suspendido por completo	durante al menos un mes.
Abraham Lincoln	comenzó	a apreciar la necesidad crítica
Bahréin	tenía	961.000 usuarios de Internet
ARPANET	predecesor de	Internet
el Reino de las Dos Sicilias	había aliado con Prusia	Venecia del dominio austriaco
George Bernard Shaw	restantes	debían formar el fideicomiso previsto
Rumi, de dieciocho años,	compuso	el conocido "ghazal
Hawái	ocupa	un archipiélago en el Pacífico central, al suroeste de América del Norte
Salman Rushdie	Nace	autor británico
Irrfan Khan	actuó	en el cortometraje de Ashvin Kumar
Hong Kong	es	una región administrativa especial de la República Popular
Wi-Fi	está	disponible en las áreas de descanso y comedor.
ácido oxálico	se puede preparar	en el laboratorio.
Sudáfrica	comenzó a consolidar	control del país más seco del África subsahariana
Abraham Lincoln	esperaba derrotar al	senador de Illinois Stephen A. Douglas
Shanghai	era	parte del feudo de Lord Chunshen de Chu
George Bernard Shaw	usó las semanas	dos obras de teatro
Bahrein	creciente	población
los Estados Unidos	llegaron	a recomendar contra la circuncisión infantil de rutina
China	fue	como la demanda disminuyó en un entorno comunista
Finlandia	tiene	una diversa y extensa gama de fauna
plasma sanguíneo	se separa	de la sangre.
Bangalore	alberga	unidades de fabricación e I+D de Dell, Nokia, Philips y Wistron
Ludwig van Beethoven	fue enterrado	en el cementerio de Währing
Swami Vivekananda	fue	un monje y filósofo hindú
John Adams	fue	a La Haya para despedirse formalmente de John Adams
India	cruza	ciudad de Muzaffarpur y la carretera nacional 57
hebreo	sirve	como el único ejemplo verdaderamente exitoso de una lengua muerta
presión de otros escritos	llevó	George Bernard Shaw
Australia	supera las	expectativas
Sigmund Freud	era	hipnosis
Marsella	convirtió	un punto focal de la Revolución Francesa
Milton Friedman	efectivamente tomó	muchos de los principios básicos
el área	se convertiría en	Arabia Saudita
la guerra	termino	en 1921
Nadine Gordimer	tomando	clases en Johannesburgo
Judy Garland	también se separó	de Freddie Fields y David Begelman.
Ludwig van Beethoven	se quedará	en Viena
el Lok Sabha	elegido directamente	cámara baja del Parlamento de la India
la ciudad de Copenhague	a capitular	ante Christian III
Lord Byron	se	aburre con George Gordon Byron, sexto barón Byron
Italia	invadió la guerra de la Francia de Vichy	tanto en la Francia de Vichy como en los Estados Unidos
Alrededor del 79 % de la población de Finlandia	utiliza	Internet
Júpiter	ha ayudado a dar forma	al Sistema Solar interior
los	de vestir	verde
Anaximandro	será	de la escuela monista
ejército de los Estados Unidos	lanzó	Operación Blue Star y la Operación Woodrose
Japón	estaba planeando	una invasión del Lejano Oriente soviético
Muhammad Ali Jinnah	interpretó rápidamente	este voto como una demanda popular de una patria separada
Windows 10	conocido	como el "Programa Windows Insider"
Rumi, de dieciocho años,	encontró	otro compañero en Salaḥ ud
Tierra	formó	hace unos 4.500 millones de años
Abraham Lincoln	estoy	en altura
Skyfall	continuó	en
George Bernard Shaw	fue subvencionado	por George Bernard Shaw
George Bernard Shaw	trabaja	solo bajo el nombre
Filadelfia	conocida coloquialmente simplemente	como Filadelfia) frontera norte
Japón	pretendía dominar Asia y el Pacífico	la Declaración Universal de los Derechos Humanos
Adolf Hitler	arremetió	contra la Iglesia Católica de Adolf Hitler
asma	fue reconocido	ya en el Antiguo Egipto
Nicolaus Copernicus	se menciona	en los libros de David Gans
Abraham Lincoln	estaba en declive	antes del asesinato de Lincoln
El partido Kuomintang ( KMT ) en China China	nominalmente unificó	China
Adolf Hitler	en la ocupación	la Reichswehr local y la sede de la policía
Indira Priyadarshini Gandhi	logró ingresar	al Reino Unido
Croacia	reveló	evidencia de mestizaje hace 100.000 años
Carl Friedrich Gauss	dudaba	la seguridad de este arreglo
Virat Kohli	jugó	cricket del condado
Primera dama Nancy Reagan	de apelar	al resentimiento racial blanco y la reacción violenta contra el movimiento de derechos civiles
La Ley del Cuidado de Salud a Bajo Precio de América del Norte	no cubre	vasectomía
el sistema operativo	graba continuamente	juego
Federico Fellini	tenía	dos hermanos.
1919	marcó	el comienzo del moderno sistema de escuelas públicas en Bahrein
plomo	es	una neurotoxina conocida
Abraham Lincoln	observó	un partidario entre la multitud bajo ataque.
Filadelfia	acogió	el concierto Live 8
Skype Technologies SA, con sede en Luxemburgo, el de tráfico	frustrará	análisis
Max Born	formó	una amistad de por vida con Einstein.
Pune	tiene	una población de 3,124,458
Facebook	protegió	figuras prominentes del escrutinio
Aaron Hillel Swartz	había descargado	aproximadamente el 20 por ciento de toda la base de datos
Jawaharlal Nehru	era	el líder en ascenso del partido del Congreso.
Adobe Flash	para crear	aplicaciones móviles y de escritorio
Facebook	hizo	mensajes automatizados sobre reclamos falsos
John Adams	no hizo	referencias despectivas a Hamilton
ADN	Unión	a un complejo de pequeñas proteínas básicas
John Adams	no ingresó a Harvard College	bajo el ministro de Boston Jonathan Mayhew
Primera Dama Nancy Reagan	realizó	77 rescates
George Bernard Shaw	iba	a apoyar la propuesta
Australia	tiene	acceso a periódicos, televisión, Internet, visitantes o llamadas telefónicas.
La Revolución Verde de China	mejorará	producción agrícola en algunas regiones de la Tierra
The Soho Foundry Watt	exhibió	una aptitud para las matemáticas
The Soho Foundry	Watt	se asoció con Matthew Boulton
O Umar	era	un genio político
hebreo	exhibe	algunas características del hebreo sefardí
Windows10	como	un "servicio
una nave	para orbitar	el sol
Nirmala Sitharaman	nace el 18 de	agosto de 1959
Ciudad de México	descansa	sobre todo el lecho del lago arcilla fuertemente saturada
Benito Amilcare Andrea Mussolini	firmó el [	Ciudad del Vaticano
guerra	concluyó	con el Tratado de Shimonoseki de 1895
Elena Vesnina	ha ayudado a lanzar	campaña Escuelas para Asia de UNICEF
Afganistán	estuvo efectivamente sin gobierno	durante cuatro años.
califa Abu Bakr	debería haber informado	O Umar
sarampión	ha estado continuamente presente	en una comunidad
Abraham Lincoln	tomó	una oficina en Illinois
Virat Kohli,	máximo	anotador de carreras
Primera Dama Nancy Reagan	mantuvo	activa
Singapur	volvió	al control británico como una colonia de la corona separada
Naciones Unidas	mantuvo	sanciones económicas contra la Unión Soviética
Andorra	siendo	parte de los francos
Finlandia	negó a firmar	un pacto similar
la ciudad de Copenhague	por haber inventado	el fotomaratón
la ciudad de París	siendo	la ciudad más densamente poblada de Europa
