रोम	के योग्य है	शहर
फिलाडेल्फिया	थी	में 52% की जिला स्नातक दर
अल्बानिया गणराज्य	का	क्षेत्रफल २८,७४८ वर्ग किलोमीटर है
लैटिन	से उधार लिया गया	फैमम एक्सटेंडेरे फैक्टिस
स्वामी विवेकानंद	रवाना हुए	भारत के लिए
एडॉल्फ हिटलर	छोड़ दिया	ने वियना में रहने और ललित कला का अध्ययन करने के लिए लिंज़ को
क्वालकॉम	बनाता है	अर्धचालक, सॉफ्टवेयर और वायरलेस तकनीक से संबंधित सेवाएं
ब्रूस ली	नहीं करेंगे	इस प्रकार का प्रदर्शन
उर्दू	विकसित हुई	पुरानी इंडो-आर्यन संस्कृत बोलियों से
ओ उमर	थे	राजनीतिक प्रतिभा के धनी
हिलेरी क्लिंटन	से सीनेटर थीं	राज्य
एडॉल्फ हिटलर	नहीं किया	ने कभी मास या संस्कार ग्रहण
फिलाडेल्फिया,	है	पेंसिल्वेनिया के राष्ट्रमंडल में आर्थिक गतिविधियों का केंद्र
विमान	अपहरण किए गए	संयुक्त राज्य अमरीका के वर्ल्ड ट्रेड सेन्टर पर
सुबबूल	है	एक पेड़
एडॉल्फ हिटलर ने	एक अल्टीमेटम दिया	क्लेपेडा क्षेत्र की रियायत के लिए
त्साई इंग-वेन	काम करने की कसम खाई	ने पिछली सरकारों द्वारा क्रॉस-स्ट्रेट संबंधों में की गई प्रगति पर
लुई पाश्चर	हो गए	होमसिक
विराट कोहली	थे	एक वकील
दुनिया भर में 10 मिलियन उपयोगकर्ताओं	प्राप्त किया था	ने लिब्रे ऑफिस
ऑस्ट्रेलिया	ने कहा	पूर्व ऑस्ट्रेलियाई टेस्ट महान क्लेम हिल
पुणे	हैं	में कई अलग पड़ोस
फिलाडेल्फिया की	में	संग्रहालयों की एक विस्तृत श्रृंखला मिल जाएगा
मैक्स बोर्न	दिए	ने भाषण
ब्रिगेडियर जनरल अब्द अल-करीम कासिम ने	नियंत्रित किया	इराक को
खतना	कम हो जाती है	से कई संक्रमणों की संभावना
पश्चिमी पाकिस्तान	प्रयास किया	ने मुस्लिम बहुल भारतीय कश्मीर पर कब्जा करने का
विराट कोहली	हैं	इंडियन प्रीमियर लीग में रॉयल चैलेंजर्स बैंगलौर के कप्तान
कई एकीकृत विषय	जोड़ते हैं	जीव विज्ञान को
कोपेनहेगन शहर	बन गया	डेनमार्क की राजधानी
चावल की खेती करने वाले समुदाय	रहते थे	पूर्वी बंगाल में
अब्राहम लिंकन	टिप्पणी की	ने अब्राहम लिंकन पर
अवुल पाकिर जैनुलाब्दीन अब्दुल कलाम	का जन्म	उस समय
पूर्वी बंगाल	है	का कुल क्षेत्रफल
यूरोपीय संघ	विकसित करेगा	बीच एक सीमा शुल्क संघ
मसानोबु फुकुओका	शुरुआत की	ने प्राकृतिक खेती की
वैश्विक आबादी का 24.1%, या 1.8 बिलियन लोग	हैं	मुसलमान
आर्कटुरस	प्रज्वलित करने के लिए	हीलियम फ्लैश को
तंजानिया	का सदस्य है	पूर्वी अफ्रीकी समुदाय
ओमान	हैं	में कई अस्पताल और क्लीनिक
स्वामी विवेकानंद	योगदान दिया	ने औपनिवेशिक भारत में राष्ट्रवाद की अवधारणा में
कैमेलिया साइनेंसिस	चुनने के लिए	पत्तियों को
कार्ल लिनिअस	नियुक्त	सरकार द्वारा
क्षमता	उपयोग करने की	ब्रूस ली का
जूडी गारलैंड	रिपोर्ट करने	के सेट को
हे प्रभु	पूछा	ने स्वामी विवेकानंद से
केंद्र शासित प्रदेश दमन	मिला दिया गया था	गोवा में
अस्पताल को	नहीं चाहिए	फूलन देवी
लुई पाश्चर	बचाया	ने सेवेन्स में रेशम उद्योग को
जोहान रोथमैन	दिखाया	ने कार्ल लिनिअस को
हाइड्रोजन सल्फाइड	है	अधिकांश जानवरों के लिए घातक
जॉर्ज हर्बर्ट वॉकर	रहेंगे	बुश घाटा कम करने के कार्यक्रम के लिए खुले
के कई स्रोतों से हुआ	जन्म	थॉमस पेन का
लुई ब्रेल	इस्तेमाल किया	ने डॉट्स और डैश दोनों का
जोसेफ प्रिस्टले	ने कई दिन छुपकर बिताए	दोस्तों के साथ
शंघाई	82 अंतर्राष्ट्रीय बैठकों की मेजबानी की	ने 2018 में
शेख ईसा बिन अली	के शासक	बहरीन
कमला नेहरू	की पत्नी है	जवाहरलाल नेहरू
एडॉल्फ हिटलर	भाग लिया	ने एक राज्य द्वारा वित्त पोषित प्राथमिक विद्यालय में
भारत के सर्वोच्च न्यायालय ने	इनकार कर दिया	दिल्ली विधानसभा समिति के सम्मन को रद्द करने से
नवाज़ुद्दीन सिद्दीकी	लिए	काफी दिक्कतों वाला
रेनी ज़ेल्वेगर	चित्रित किया	ने जूडी गारलैंड को
कार्ल लिनिअस	भेजा गया था	को वक्षजो वक्षजो में लोअर ग्रामर स्कूल में
एडॉल्फ हिटलर	अधिकृत करता है	सामूहिक हत्याओं को
वृंदावन	की पत्नी है	विष्णु
मिसिसिपी नदी के पश्चिम में मिनेसोटा	हैं	में 30 से अधिक मस्जिदें
ओसामा बिन लादेन	धमाके किए	यमन के दो होटलों में बम
प्रवासियों ने	पार किया	कीवन रस को
किर्गिस्तान	है	मध्य एशिया में एक स्थलरुद्ध देश
लक्जमबर्ग-आधारित स्काइप टेक्नोलॉजीज एसए	समर्थन करता है	आईपीवी4 प्रोटोकॉल का
पेंसिल्वेनिया के सीनेटर विलियम मैकले	तुलना की	ने जॉन एडम्स की
फेसबुक	लॉन्च किया	ने तत्काल लेख
अब जीवित नहीं रहने से	प्रभावित हुए हैं	जोहान वोल्फगैंग वॉन गोएथे
की सलात प्रार्थना	ओर मुख करके	यरूशलेम
कार्ल फ्रेडरिक गॉस	बिताने के लिए तथाकथित गॉसियन लघुगणक की शुरुआत की	ने एक दशक तक घोड़े की पीठ पर यात्रा करने वाले ग्रीष्मकाल
भारत	आरोप लगाया	ने जैश-ए-मुहम्मद पर
टॉलेमी	के राजा हैं	अलेक्जेंड्रिया सिद्धांत
हांग्जो शहर	बंद नहीं किया जाएगा	को बाहरी दुनिया से
हेक्सेन	है	एक हाइड्रोकार्बन
हरे	थे	रंग के बहुत सकारात्मक जुड़ाव
रोमन साम्राज्य	था	थियोडोसियस I के दो बेटों के बीच
अम्ल वर्षा	भी नुकसान पहुंचा सकती है	कुछ निर्माण सामग्री और ऐतिहासिक स्मारकों को
कार्ल लिनिअस	दिखाई	ने जियोवानी एंटोनियो स्कोपोली में बहुत रुचि
जर्मनी	बहुत तेज किया	ने फ़ासिस्टवादी आंदोलन की गति को
शक्ति और	सफल होने की	ओ उमर
भारत	है	गतिविधि का एक निरंतर छत्ता
के की साइट	साथ पोम्पेई	सेरिनो एक्वाडक्ट से
चिकित्सकों	केवल तभी करें	पुरुष खतना
हाइड्रोजन सल्फाइड	है	हवा की तुलना में थोड़ा सघन
विराट कोहली	बनाए थे	ने 14 और 68 रन
गौटिंगेन विश्वविद्यालय कर दिया	रद्द	ने मैक्स बोर्न को
यूरोपीय संघ ने	योगदान दिया है	यूरोप में शांति के लिए
बैंगलोर को	जाना जाता है	तौर पर बेंगलुरु ( ) बाहरी इलाके के रूप में
न्याय	दिया	का अवसर
विराट कोहली	पूरे करने वाले हैं	वनडे में 8,000 रन
रोगी	स्नान करके रोगी पसीना बहाया जा सकता है	को भाप
त्साई इंग-वेन	ने टिप्पणी	की कि क्रॉस-स्ट्रेट संबंध "ऐतिहासिक मोड़" पर पहुंच गए थे
न्यूयॉर्क मेट्स के महाप्रबंधक ब्रॉडी वैन वेगेनन	रहते थे	आर्मस्ट्रांग फी डेल्टा थीटा बिरादरी बिरादरी के घर
अरबिंदो घोष	प्रेरित किया	ने पुलिस को खुली कार्रवाई के लिए
भारत	की माता है	धर्मों
पाकिस्तान	घोषित हुआ	एक भिन्न राष्ट्र
माउंट कैनोपस या कैनोपस हिल	है	माउंट कैनोपस या कैनोपस हिल से अधिक चमकदार
ऑस्ट्रेलिया	था	"न्यू हॉलैंड" के रूप में
लिन डैन	का जन्म	14 अक्टूबर 1983) सैन्य और धार्मिक स्थिति
लॉर्ड बायरन	सगाई की	ने ट्रेलॉनी के दोस्त से
रजनीकांत श्रीदेवी को	जाना जाता	रूप से तेलुगु सिनेमा की पहली महिला सुपर स्टार के रूप में
नेल्सन रोलीह्लला मंडेला	लामबन्द करना शुरू कर दिया था	रॉबेन द्वीप की जेल में अश्वेत कैदियों को
ताइक्वांडो मास्टर झून गू री	सिखाया	ने ब्रूस ली को
Nexus 5	कार्य किया	ने Android 4.4 के लिए लॉन्च डिवाइस के रूप में
सॉफ्टवेयर	निर्यात करने वाले	एसडब्ल्यूएफ
कोपनहेगन	हो गया था	अत्यंत क्षतिग्रस्त
अबकाज़िया	शेष	जातीय जॉर्जियाई
सुभाष चन्द्र बोस	जा रहे थे	मंचूरिया की तरफ
उझ नदी	मिलती है	रावी नदी में
भविष्य के न्यूयॉर्क मेट्स के महाप्रबंधक ब्रॉडी वैन वेगेनन आर्मस्ट्रांग	सम्मानित किया गया	को राष्ट्रपति रिचर्ड निक्सन द्वारा स्वतंत्रता के राष्ट्रपति पदक से
रूस	सौंपेगा	आईएनएस
भविष्य के न्यूयॉर्क मेट्स के महाप्रबंधक ब्रॉडी वैन वेगेनन आर्मस्ट्रांग	खो दिया	ने जोशुआ पेड़ों को
औद्योगीकरण	फैल गया	गांवों में
बृहस्पति ग्रह	है	वर्तमान में करता
नीरो	मिला	को कोई जवाब नहीं
सुभाष चंद्र बोस	बने	बंगाल राज्य कांग्रेस के महासचिव
मावेन अंतरिक्ष	शुरू करेगा	यान लॉन्च
कतर	अपनाया	ने कतर के संविधान को
इथियोपिया, केन्या, नाइजीरिया और लीबिया	समर्थन किया	ने बांग्लादेश सरकार का
जॉन एडम्स	भाग लेने के लिए सहमत हुए	देश में
नीरो	स्थापना की	ने नेरोनियन खेलों की
जॉर्ज हर्बर्ट वॉकर बुश	प्रशिक्षित किया	ने मुख्य भूमि जापान पर आक्रमण में भाग लेने के लिए
प्रथम महिला नैन्सी रीगन	बढ़ाया	ने बयानबाजी को आगे
डेल्टा एयर लाइन्स	शुरू की	ने भोजन सेवा
मेंशन	का गवर्नर है	अलास्का
बमाको	था	सोवियत निवेश और प्रभाव के अधीन
अरबिंदो घोष	ने बड़े पैमाने पर पुणे की यात्रा की	के भाषणों और समूहों के साथ बैठक
माउंट कैनोपस या कैनोपस हिल	जाना जाता था	को दक्षिणी ध्रुव के ओल्ड मैन के रूप में
विराट कोहली	शादी कर ली	इटली के मिलान नगर में
Nexus 5	भेज दिया गया है	को Google नाओ लॉन्चर के साथ
कार्ल फ्रेडरिक गॉस	थे	प्रशंसा और उत्साह से भरे हुए
इक्वेटोरियल गिनी	हुई थी	में सकल घरेलू उत्पाद में सबसे अधिक औसत वार्षिक वृद्धि
विराट कोहली	पहुंचे थे	भारतीय क्रिकेट टीम के फाइनल तक
फ्रांस	सौंप दिया	ने मॉरीशस द्वीप को
कॉन्स्टेंटिनोपल	थे	में कहीं 400,000 और 500,000 लोग
बैंगलोर	विभाजित किया गया था	को छोटे डिवीजनों में
जॉन एडम्स	नहीं बैठेंगे	नब्बे समितियों में
गंगा और गंडक के पवित्र संगम स्थल की	स्थान	अति महत्त्वपूर्ण
एन्सेलेडस	एक चंद्रमा है	शनि का
पुणे	भी है	में सूचना प्रौद्योगिकी के प्रतिष्ठान
टीपू सुल्तान	सुपुर्द किया	ने लार्ड कार्नवालिस को
ली कोर्बुज़िए के	अध्यापन किया	ने ला शॉ-दे-फ़ौं के ली कोर्बुज़िए के पुराने विद्यालय में
यूनाइटेड किंगडम ने	स्थान लिया	अर्नोल्ड विल्सन का
पराग्वे	घोषित किया	ने तानाशाह अल्फ्रेडो स्ट्रोस्नर
कार्ल मार्क्स	जीवित रहीं	छह संतानो में तीन कन्याएँ ही
स्लमडॉग मिलियनेयर	जा रही थी	की पश्चिम में व्यापक रूप से सराहना की
स्लमडॉग मिलियनेयर	समापन हुआ	का
लक्जमबर्ग	स्थित स्काइप टेक्नोलॉजीज एसए	विंडोज आरटी पर
सुभाष चन्द्र बोस	गम्भीर	रूप से जल गए थे
कार्ल फ्रेडरिक गॉस	जाने जाते थे	शिक्षण को नापसंद करने के लिए
कार्ल लिनिअस	जारी रखा	ने अध्यापन और लेखन
कवि वॉल्ट व्हिटमैन	रचना की	ने अब्राहम लिंकन की
इज़राइल में रूसी भाषा	नहीं है	एक राज्य भाषा
नेपोलियन ने	जीत लिया था	मिस्र को
कोपेनहेगन शहर	अलग है	माल्मो से
कार्ल लिनिअस	व्यावहारिक रहे	रूप से वहीं
चार्ल्स - एडुआर्ड जीनरेट	के नेता थे	आधुनिकतावादी आंदोलन
सिगमंड फ्रायड	थे	सम्मोहन चिकित्सा के उत्साही समर्थक
के साम्राज्य ने	प्रशिया वेनेटिया के साथ गठबंधन	ऑस्ट्रियाई शासन से
रवींद्रनाथ टैगोर	बंगाली शेक्सपियर के रूप में जाना जाता है	को संसद में
शेलैक का	है	साइट्रस फल पर 'मोम' की परत के रूप में किया जाता
अलास्का	है	सबसे कम घनी आबादी वाला राज्य
हिमलर	पूछा	ने एडॉल्फ हिटलर से
पूर्वी बंगाल	है	77% साक्षरता दर के साथ सबसे आगे
एडॉल्फ हिटलर	अपनाया	ने कैथोलिक चर्च के साथ एक रणनीतिक संबंध
फेडेरिको फेलिनी	खोज की	ने ग्रैंड गुइग्नोल की दुनिया की
हनुमान	आए	वापस
घरेलू हिंसा	जबरन	शादी
अब्राहम लिंकन	नहीं जाएंगे	स्प्रिंगफील्ड कभी
सरकार	अल्पमत में है	पूर्ण मतदान के लिए विपक्ष के अनुरोध पर
विराट कोहली	परेशान	तेज गेंदबाजों से
जॉन एडम्स	शामिल होने के लिए सहमत हुए	सबसे बुरे दुश्मन में
संयुक्त राज्य	अमेरिका प्रमुख जमीन	जापानी मध्य प्रशांत परिधि
जॉन मैक्केन	से सीनेटर हैं	कैलिफोर्निया
लुडविग वैन बीथोवेन	लिखने के लिए	एक नया समापन
अवलोकितेश्वर	हैं	के 108 अवतार
डेल्टा एयर लाइन्स	शुभारंभ किया	ने शिकागो और मियामी के बीच पहला रियायती किरायों का
विलियम पेन	नाम दिया	ने फिलाडेल्फिया
समय	निर्दिष्ट	राजकीय अंतिम संस्कार के लिए
लुडविग वैन बीथोवेन	खोज की	ने नई दिशाओं की
हुआ	है	सेवा में बना
लड़ाई	हुई	पोलैण्ड की ओर के इलाकों में
रूसी साम्राज्य ने	बनाई	फिनिश स्वायत्तता
जॉर्ज एचडब्ल्यू बुश	होंगे	फर्स्ट लेडी नैन्सी रीगन रनिंग मेट
एंडोरा टेलीकॉम	की राष्ट्रीय दूरसंचार कंपनी है	अंडोरा
बहरीन	की उत्पत्ति	बहरीन से हुई है
बायिड राजवंश ने	विजय प्राप्त की	बगदाद पर
जोसेफ प्रिस्टले	लाने के लिए	बदलाव
में देवकी के साथ वर्णित कृष्ण का	है	देवकी और देवकी के पति से
भारतीय राष्ट्रीय कांग्रेस	असमर्थ थी	10% सीटें हासिल करने में
फ़िनलैंड	आधिकारिक तौर पर फ़िनलैंड गणराज्य	उच्चतम बिंदु
गुरु तेग बहादुर	पड़ गए	अव्यवस्था में
अरबी	है	मस्कट की प्रमुख भाषा
आर्कटूरस	होना	एक पुराना - डिस्क स्टार
माउंट कैनोपस या कैनोपस हिल	थे	सूर्य के केंद्र में
इंटरग्लोब एविएशन लिमिटेड ने	कंपनी स्थापित करके कम लागत वाली क्षेत्रीय उड़ानें शुरू योजना बनाई है	करने की
इस अवधि	देखा गया	में जर्मन एलिज़ाबेथ ट्रेस्को द्वारा दानेदार बनाने का पुनः आविष्कार
अधेड़ उम्र के अब्राहम लिंकन	पदच्युत कर दिया	ने नए सेक्रेटरी ऑफ़ स्टेट को
लिन डैन	मात दी	ने लुप्त होते स्टार तौफिक हिदायत को
शिशु कृष्ण	को	जगतगुरु का सम्मान दिया जाता है
लुई पाश्चर	दी	ने इकोले नॉर्मले सुप्रीयर के लिए प्रवेश परीक्षा
जॉन एडम्स	ने नहीं देखा	फ्रेंको-अमेरिकी गठबंधन को
दक्षिणपूर्व अलास्का	होता	क्योंकि दक्षिणपूर्व अलास्का ईरान से ज़रा-सा बड़ा है
उपनिषद्	विवेचना की गई है	ब्रह्म, आत्मा और ब्रह्म संबंध के बारे में
सिंगापुर को	माना जाता	से एक के बजाय चार उप-साहित्य
भविष्य के न्यूयॉर्क मेट्स के महाप्रबंधक ब्रॉडी वैन वेगेनन आर्मस्ट्रांग	सौंपा गया था	को एक परिवहन स्क्वाड्रन को
ब्रूस ली	जीता	ने हांगकांग
कई उपनिवेशवादी	देखने के लिए	फिजी को
न्यूयॉर्क मेट्स के भविष्य के महाप्रबंधक ब्रॉडी वैन वेगेनन आर्मस्ट्रांग	निधन हो गया	का जटिलताओं के कारण
"मुजाहिदीन	शामिल हो	तालिबान में
भारत देश	बनाए रखा है	ने ज्यादातर देशों के साथ सौहार्दपूर्ण संबंध
जॉर्ज हर्बर्ट वॉकर बुश	दिया	ने रिपब्लिकन सम्मेलन में एक अच्छी तरह से प्राप्त भाषण
एसिटिलीन	है	में एपी
1995	ने बृहस्पति ग्रह	की कई चंद्रमाओं की
नुसरत फतेह अली खान खान	पालन करेंगी	के परिवार का
पोलैंड ने	खराब करने के बहाने काम किया	संबंध
इंटरग्लोब एविएशन लिमिटेड ने	दिया	100 एयरबस ए320 - 200 विमानों के लिए एक दृढ़ आदेश
स्काईफॉल	कमाई की थी	ने पार करने के लिए £ 57 मिलियन से अधिक की
भारत	कर रहा था	सीमा के साथ विकास की देखभाल
चीन	इस्तेमाल किया	ने चांदी का
पुणे	हैं	में पेशवा काल के जैन मंदिर
काँग्रेस	नहीं कर सकती है	यह काम
मेक्सिको सिटी	बन गया है	प्रदूषण के स्तर को काफी कम करने के लिए एक मॉडल
अयातोल्ला अल-उज़्मा सायद रुहोल्ला मोसावि खोमैनी परिवार	का वंशज था	मुहम्मद
ईश्वर	पूर्ण	अनंत, सनातन, सर्वज्ञ, सर्वशक्तिमान और सर्वव्यापी
अगरतला नगर पालिका	जुड़ी	के अन्य हिस्सों से सड़क मार्ग से
पूरे भारत	जी रहा था	गुलामी में
भारत	ने डिक्सन योजना को खारिज कर दिया कि	भारत में सामूहिक कब्रों की निष्पक्ष जांच की जाए
काल्पनिक MI6 एजेंट जेम्स बॉन्ड	जांच कर रहा है	MI6 पर हमले की
मुसलमान	रहते हैं	दक्षिण एशिया में
तंजानिया का संयुक्त गणराज्य	मिलकर बना है	26 प्रदेशों से
कर्ट सॉयर	के मुख्य सुरक्षा अधिकारी हैं	स्काइप
लिन डैन	जीता	ने रजत पदक
इरफान खान	सह-अभिनय किया	ने 2015 की फिल्म में
पोम्पेई का स्थल	बनाया गया था	समुद्र तल से लगभग ऊपर
गुरु तेग बहादुर,	थे	गुरु तेग बहादुर की शहादत
विष्णु	हैं	वैष्णववाद धर्मशास्त्र में
शब्द	बना माना जाता है	सिन्धु से
कोट्टायम टाउन	था	अल्पकालिक
Google	घोषणा की	ने "जीमेल टैप" जारी करने की
उत्तर में गुलामी-समर्थक तत्वों की	बराबरी	ने अब्राहम लिंकन की
फेडेरिको फेलिनी	थे	के दो भाई-बहन
के ईडी राम ने	आधुनिकीकरण पर केंद्रित कई सुधारों को लागू	अल्बानिया की अर्थव्यवस्था के
É वरीस्ते गैलोइस	काट रहा है	कई महीनों की एक जेल की सजा
शंघाई फिल्म निर्माताओं की एक लहर ने	निर्माण में मदद की	हांगकांग के
अनिल कपूर	निभाया	ने फिर से कॉमिक टपोरी का किरदार
लिनोलिक एसिड	है	एक पॉलीअनसेचुरेटेड ओमेगा-6 फैटी एसिड
शोध	प्रकाशित	ऑक्सफोर्ड विश्वविद्यालय में
थॉमस पेन	का जन्म थॉमस पेन	ब्रिटिश स्वप्नलोकवाद से हुआ
पश्चिम पाकिस्तान	बहुत बाधित किया	ने बंगाली और पाकिस्तानी संस्कृतियों को एकीकृत करने के किसी भी प्रयास को
शंघाई	हैं	में दो वाणिज्यिक हवाई अड्डे
मेक्सिको सिटी	था	स्पेनिश शहरी मानकों के अनुसार
एल्विस प्रेस्ली	का प्रचार	ने कोका-कोला
जॉर्ज हर्बर्ट वॉकर बुश	जुड़े	जापटा ऑफशोर कंपनी के साथ
बैंगलोर	हैं	में डेल, नोकिया, फिलिप्स, विस्ट्रॉन मैन्युफैक्चरिंग और आर एंड डी इकाइयां
स्लमडॉग मिलियनेयर	कार्य करता है	कार्यक्रम के लिए फीचर-लंबाई उत्पाद प्लेसमेंट के रूप में
कोट्टायम टाउन	है	में एक उष्णकटिबंधीय मानसून जलवायु
एक इमारत	है	में ओरीचैटस
शनि	गुजर रहा है	बृहस्पति से होकर
भारत	जारी किया	ने दो स्मारक सिक्कों का एक सेट
जॉर्ज हर्बर्ट वॉकर बुश	ठहराया	ने टेक्सास के अरबपति एच। रॉस पेरोट को दोषी
दमन और दीव	बोली जाती है	दमन और दीव में लगभग 10,000 - 12,000 लोगों द्वारा
पूर्वी अरब के क्षेत्र था	शामिल	में दक्षिणी इराक
स्वामी विवेकानंद	सवाल उठाया	ने ईश्वर के अस्तित्व पर
जाती है	बोली	उत्तरी रोमन गॉल में
स्पेन	रहता था	समकालीन आधुनिक मनुष्यों की तुलना में अधिक कम वितरित समूहों में
अलास्का	है	में समुद्री भोजन की बहुतायत
संयुक्त राज्य सेना	बढ़ाई	ने महत्वपूर्ण हताहतों की संख्या
भारत	भेजा जा रहा है	को POW शिविरों में
थॉमस पेन	रखा गया	को जॉर्ज III के दरवाजे पर
एडोब फ्लैश	समर्थन करता है	वीडियो प्लेबैक के दो अलग-अलग तरीकों का
बहरीन की	जाना जाता था	को टाइलोस के रूप में
ब्रूस ली	पिटाई करते हुए	एक भयभीत त्रय परिवार के बेटे की
भारत गणराज्य ने	उपयोग करने का वचन दिया	केवल स्वदेशी या भारतीय वस्तुओं का
कोपेनहेगन शहर ने	सफलतापूर्वक नाकाम कर दिया	एक बड़े हमले को
अब्राहम लिंकन	गुटों की एक विवादास्पद सरणी	गुटों की आपसी दुश्मनी के एक विवादास्पद सरणी का
तेरी माँ	रक्षा करने वाली हैं	पूरे संसार की
वाला बृहस्पति ग्रह	बनने	की दूरी पर
स्वामी विवेकानंद	बदलने का फैसला किया	ने एक जीर्ण-शीर्ण घर को
विराट कोहली	बनाए	ने 96 रन
अब्राहम लिंकन	दिखाई देते थे	अजीब और भद्दे भी
मनोज यादव	महानिदेशक हैं	पुलिस
अंडमान और निकोबार द्वीप समूह को	गया था	ज्यादातर नम पर्णपाती जंगलों के अनंतिम सरकारी बंदरगाह में मिला लिया
ग्रेगोर मेंडल	प्रतिपादित किया	ने स्वतंत्र अपव्यूहन का नियम
इंग्लैंड	बल्लेबाजी की	ने पहले
जल अधिशेष गोदावरी नदी	प्राप्त करने के बाद	एक छोटी सहायक नदी किन्नरसनी नदी
लुई पाश्चर	प्रवेश लिया	ने प्राथमिक विद्यालय में
प्रार्थना ( "सलात" )- प्रार्थना ( "सलात" )- फ़ारसी में	कहते हैं	नमाज़
ब्रिटेन	स्थापित करने के	ब्रिटिश हिंद महासागर क्षेत्र
बहरीन	शासन था	पर पुर्तगाली साम्राज्य का
अंडोरा	है	में अल्पाइन, महाद्वीपीय और समुद्री जलवायु
जॉन एडम्स	दावा नहीं किया	ने थॉमस जेफरसन को लिखे एक पत्र में
फिलाडेल्फिया	तेजी गुजर रहा है	से जेंट्रीफिकेशन के दौर से
ज़ेंग क्विंगहोंग	के पूर्व डिप्टी पार्टी सेक्रेटरी हैं	शंघाई
टॉय स्टोरी	है	1995 की एक अमेरिकी एनीमेटेड फिल्म
विराट कोहली	लगाए	ने दो अर्धशतक
अगरतला नगरपालिका का	विलय	भारत सरकार में
[[पनडुब्बी]	संतोषजनक ढंग से काम नहीं किया	वर्जीनिया
मल्टीबिलियन-डॉलर लेसोथो हाइलैंड्स वाटर प्रोजेक्ट	बनाया है	ने लेसोथो को
मुजफ्फरपुर टाउन	की स्थापना हुई थी	1875 में
कई हार्वर्ड के पूर्व छात्र	रंग देंगे	वाशिंगटन पोस्ट को
ऑस्ट्रेलिया	ने भी भाग लिया है	हर राष्ट्रमंडल खेलों में
प्रथम महिला नैन्सी रीगन	आदेश दिया गया था	को सैन फ्रांसिस्को में सैन्य सक्रिय कर्तव्य का
उत्तरी अफ्रीका	निवास है	में स्वदेशी बर्बर लोगों का
भारत	खारिज कर दिया	ने डिक्सन योजना की व्याख्या को
जयप्रकाश नारायण गाँधी	उपस्थित थी	श्रीनगर सीमा क्षेत्र में
भविष्य के न्यूयॉर्क मेट्स के महाप्रबंधक ब्रॉडी वैन वेगेनन आर्मस्ट्रांग	भी बनाया	ने बिजनेस जेट के लिए चढ़ाई और ऊंचाई का रिकॉर्ड
एक इमारत	पहुँचाती है	पानी को नलों तक
शिव	की पूजा	"ज्योतिर्लिंग" के रूप में की जाती
वाशिंगटन की	कैबिनेट ने सर्वसम्मति	से जॉन एडम्स को
जूडी गारलैंड	दाखिला लिया	ने एक डांस स्कूल में
अब्राहम लिंकन	जीते	ने 1862 के मध्यावधि चुनाव
मुसलमान	पीते हैं	कोका-कोला और पेप्सी कोला
नवाजुद्दीन सिद्दीकी	आएंगे	नजर
फेसबुक	स्वचालित संदेश गोपनीयता सेटिंग्स भेजने के अलावा कुछ नहीं किया	ने 20 से अधिक पृष्ठों पर
सुभाष चन्द्र बोस	निकले	घर से
गणितीय पेजरैंक एल्गोरिथम ने	रखा	कार्ल लिनिअस को
हरा	आमतौर	पर यूरोप और संयुक्त राज्य अमेरिका में युवाओं के साथ
अंग्रेजों ने	आजाद करा लिया था	मैसूर राज्य को
लिन डैन	आए	दूसरा लेने के लिए
जॉर्ज हर्बर्ट वॉकर बुश	नहीं ठहराया	ने पनामा पर संयुक्त राज्य अमेरिका के आक्रमण को उचित
जॉन एडम्स	ने बड़े	पैमाने पर वाशिंगटन प्रशासन
जीन-बैप्टिस्ट डी लैमार्क	प्रकाशित किया	ने प्राकृतिक दुनिया के लिए एक बुनियादी वर्गीकरण
हफ्सा	की बेटी है	ओ उमर
काउंट गैलियाज़ो सीयानो	दौरा किया	ने नाज़ी जर्मनी का
उप-सहारा अफ्रीका के सबसे शुष्क देश	अधिग्रहण शुरू करने की योजना है	भूमिहीन काले नामीबियाई लोगों का
गुंटूर नगर की	स्थापना	फ़्रांसीसियों द्वारा की गई थी
चार्ल्स - एडौर्ड जीनरेट	प्रस्ताव दिया	ने तीन मंजिल की संरचना का
2013	प्रेरित है	आरोन हिलेल स्वार्ट्ज के काम और जीवन से
